attendance,math_marks,science_marks,english_marks,hours_studied,assignments,prev_gpa,result
71.0,72.0,41.0,19.0,9.3,87.0,1.82,0
34.0,74.0,71.0,34.0,2.2,88.0,3.33,0
91.0,64.0,45.0,22.0,3.7,56.0,2.72,0
80.0,42.0,20.0,57.0,4.3,68.0,1.62,0
40.0,55.0,54.0,90.0,4.4,32.0,2.27,0
94.0,78.0,26.0,15.0,6.1,53.0,2.36,0
94.0,41.0,67.0,71.0,9.4,72.0,3.31,1
43.0,77.0,85.0,78.0,2.4,70.0,1.26,0
22.0,31.0,24.0,98.0,1.2,22.0,1.95,0
41.0,87.0,59.0,42.0,2.0,61.0,2.65,0
72.0,47.0,31.0,51.0,8.9,51.0,1.95,0
21.0,98.0,40.0,61.0,6.5,70.0,2.96,0
49.0,91.0,99.0,90.0,2.9,65.0,2.55,0
57.0,43.0,76.0,51.0,8.2,40.0,2.21,0
21.0,27.0,60.0,63.0,8.6,63.0,3.86,0
83.0,60.0,78.0,58.0,8.5,30.0,2.97,0
79.0,49.0,16.0,70.0,9.2,87.0,1.56,0
40.0,20.0,68.0,42.0,2.5,20.0,2.77,0
52.0,96.0,79.0,93.0,7.6,82.0,3.39,0
95.0,83.0,65.0,20.0,4.6,43.0,3.18,1
77.0,61.0,67.0,75.0,8.4,32.0,1.68,0
41.0,39.0,50.0,34.0,7.3,30.0,3.92,0
68.0,80.0,40.0,92.0,7.8,70.0,2.46,1
78.0,24.0,43.0,16.0,6.6,36.0,1.65,0
61.0,70.0,35.0,87.0,1.8,43.0,1.7,0
79.0,44.0,25.0,51.0,5.5,38.0,1.48,0
99.0,19.0,54.0,34.0,9.8,56.0,3.45,0
34.0,47.0,25.0,40.0,9.4,27.0,1.54,0
81.0,79.0,50.0,43.0,0.4,47.0,1.55,0
81.0,32.0,73.0,15.0,1.6,24.0,3.58,0
66.0,63.0,53.0,49.0,1.3,36.0,2.16,0
81.0,25.0,68.0,84.0,7.3,55.0,1.29,0
70.0,99.0,69.0,73.0,8.2,38.0,1.35,0
74.0,40.0,38.0,83.0,2.1,83.0,1.6,0
83.0,77.0,36.0,47.0,5.1,30.0,1.8,0
